"Sales ID";"Sales Amount (USD)";"Cost Price (USD)";"Region";"Conversion Rate (%)";"Sessions";"Views";"Follow-ups";"Closed Deal?";"Customer Feedback";"Customer Plan";"Customer Rating";"Sales Date";"Customer ID";"Channel ID";"Product ID";"Sales Rep ID";"Campaign ID";"Lead Source ID";"Country ID"
"S0141";175;59;"Europe";20;8;63;1;"Yes";"Fast delivery";"Premium";10;"2024-02-11";137;1;10;3;4;4;3
"S0142";261;96;"North America";27;13;43;4;"Yes";"Responsive sales team";"Basic";6;"2023-02-26";138;1;3;8;3;3;2
"S0143";491;437;"Asia";20;19;50;1;"Yes";"Fast delivery";"Premium";9;"2022-10-12";139;1;3;7;2;1;4
"S0144";1393;1210;"Asia";23;16;97;2;"Yes";"Price too high";"Basic";1;"2023-05-29";140;1;2;7;5;4;3
"S0145";1188;1066;"North America";27;9;34;4;"Yes";"Product not available";"Basic";1;"2022-01-02";141;1;14;3;2;2;1
"S0146";857;784;"South America";18;14;50;3;"Yes";"Satisfied with product";"Basic";2;"2022-10-25";142;1;12;5;3;4;5
"S0147";695;471;"Europe";26;18;55;3;"Yes";"Fast delivery";"Basic";10;"2024-03-18";143;2;5;6;3;4;1
"S0148";1121;902;"Europe";11;7;31;2;"Yes";"Satisfied with product";"Basic";2;"2024-06-09";144;1;8;4;4;4;3
"S0149";1349;1225;"North America";30;10;70;1;"Yes";"Price too high";"Basic";6;"2023-01-26";145;2;8;3;5;1;1
"S0150";1002;790;"North America";12;7;20;2;"Yes";"Highly satisfied";"Basic";8;"2022-02-21";146;1;15;2;5;2;5
"S0151";1001;717;"Europe";25;6;81;4;"Yes";"Responsive sales team";"Basic";3;"2023-01-28";147;2;15;1;2;2;5
"S0152";909;671;"North America";29;9;35;4;"Yes";"Satisfied with product";"Basic";5;"2023-12-23";49;2;8;6;5;1;10
"S0153";1289;1149;"Europe";7;11;77;1;"Yes";"Responsive sales team";"Basic";2;"2023-07-28";148;1;15;2;2;5;10
"S0154";828;778;"Europe";27;20;58;5;"Yes";"Satisfied with product";"Basic";3;"2024-01-23";149;1;12;7;5;5;4
"S0155";524;368;"Europe";28;12;25;1;"Yes";"Fast delivery";"Basic";8;"2022-03-20";150;1;8;7;2;1;2
"S0156";948;668;"North America";5;6;60;5;"Yes";"Great customer support";"Basic";6;"2022-03-25";151;1;15;5;1;2;5
"S0157";1152;962;"Europe";15;6;69;1;"No";"Great customer support";"Basic";5;"2024-02-07";152;2;1;7;5;2;5
"S0158";556;314;"Europe";6;20;71;2;"No";"Satisfied with product";"Basic";2;"2024-01-08";153;2;15;2;3;2;5
"S0159";1119;837;"Europe";17;6;94;5;"Yes";"Product not available";"Basic";8;"2022-11-11";154;2;1;7;3;3;3
"S0160";389;175;"Asia";18;5;98;5;"No";"Highly satisfied";"Basic";9;"2022-07-17";155;2;9;3;4;5;4
"S0161";1274;1087;"Asia";11;13;69;5;"No";"Product not available";"Basic";6;"2023-09-06";156;2;11;5;4;4;10
"S0162";1354;1150;"Europe";29;18;64;4;"Yes";"Price too high";"Basic";5;"2023-10-25";157;1;6;8;1;1;10
"S0163";719;667;"Europe";10;18;21;4;"No";"Excellent service";"Basic";9;"2023-08-22";158;1;1;8;2;2;9
"S0164";260;141;"Asia";8;18;37;5;"Yes";"Satisfied with product";"Basic";3;"2023-04-25";159;2;13;3;4;5;4
"S0165";915;675;"South America";16;18;100;4;"No";"Responsive sales team";"Basic";3;"2022-06-28";160;1;13;8;3;2;2
"S0166";849;766;"Asia";29;6;53;1;"Yes";"Responsive sales team";"Basic";4;"2024-08-27";161;2;15;4;1;1;9
"S0167";344;284;"North America";18;19;59;3;"Yes";"Price too high";"Basic";10;"2024-01-17";107;2;2;1;5;5;10
"S0168";1483;1339;"South America";10;12;83;1;"Yes";"Product not available";"Basic";1;"2023-10-31";162;1;10;8;2;1;5
"S0169";376;220;"South America";26;5;32;4;"No";"Great customer support";"Basic";10;"2022-11-22";163;2;13;1;3;5;1
"S0170";527;441;"South America";13;7;28;3;"Yes";"Price too high";"Basic";9;"2023-11-06";164;2;14;4;1;1;5
"S0171";1363;1077;"North America";9;17;87;2;"Yes";"Great customer support";"Basic";1;"2024-05-15";165;1;4;5;5;2;11
"S0172";1140;887;"North America";7;14;78;5;"No";"Excellent service";"Basic";9;"2023-04-21";166;1;8;6;3;2;4
"S0173";1346;1223;"Europe";19;15;90;5;"Yes";"Highly satisfied";"Basic";8;"2022-09-21";167;1;15;3;1;1;10
"S0174";1436;1325;"South America";21;11;31;1;"Yes";"Responsive sales team";"Basic";2;"2022-03-07";168;1;7;4;4;4;2
"S0175";1211;1141;"Asia";7;10;96;4;"Yes";"Price too high";"Basic";2;"2024-03-17";169;1;3;2;5;1;10
"S0176";1373;1095;"Europe";22;16;60;4;"Yes";"Satisfied with product";"Basic";1;"2024-07-15";170;1;8;1;4;5;4
"S0177";204;-41;"Europe";27;13;98;4;"Yes";"Satisfied with product";"Basic";8;"2023-05-13";171;1;6;7;3;4;5
"S0178";1125;902;"Europe";16;13;51;1;"No";"Satisfied with product";"Basic";10;"2023-05-20";172;2;14;2;1;2;11
"S0179";186;-95;"South America";23;14;88;2;"Yes";"Satisfied with product";"Basic";4;"2023-08-17";173;2;1;5;5;4;3
"S0180";986;769;"South America";21;15;42;3;"Yes";"Highly satisfied";"Basic";8;"2024-07-06";174;1;4;1;1;4;3
"S0181";1062;883;"South America";10;8;79;3;"Yes";"Price too high";"Basic";3;"2024-01-01";175;1;9;2;2;2;9
"S0182";177;19;"South America";8;19;99;5;"Yes";"Great customer support";"Basic";7;"2023-06-14";176;1;8;2;4;2;11
"S0183";291;137;"South America";14;14;89;1;"No";"Fast delivery";"Basic";5;"2023-02-26";177;1;14;5;5;4;5
"S0184";997;875;"Europe";16;6;26;5;"Yes";"Responsive sales team";"Basic";7;"2022-07-06";178;2;5;2;2;3;3
"S0185";824;561;"North America";19;14;48;2;"Yes";"Product not available";"Basic";4;"2022-07-04";179;1;8;6;1;1;3
"S0186";1038;945;"North America";23;20;35;2;"No";"Responsive sales team";"Basic";10;"2023-04-11";180;1;8;3;3;4;4
"S0187";376;208;"Asia";21;12;67;5;"Yes";"Price too high";"Basic";10;"2022-08-04";181;1;4;6;5;5;11
"S0188";664;365;"South America";30;5;61;4;"Yes";"Price too high";"Basic";3;"2023-07-03";182;1;2;8;5;3;11
"S0189";153;-31;"Europe";28;5;57;3;"Yes";"Fast delivery";"Basic";1;"2022-12-13";183;1;9;3;2;3;9
"S0190";329;151;"Asia";5;15;100;1;"Yes";"Responsive sales team";"Basic";6;"2023-04-24";184;2;6;8;2;4;4
"S0191";957;827;"North America";28;11;36;3;"Yes";"Fast delivery";"Basic";8;"2022-05-22";185;1;6;7;2;2;10
"S0192";501;400;"Asia";9;20;72;3;"Yes";"Price too high";"Basic";6;"2023-04-08";186;2;9;4;4;2;9
"S0193";1120;1017;"South America";26;15;28;5;"Yes";"Great customer support";"Basic";9;"2023-07-29";187;1;12;1;5;1;3
"S0194";984;900;"Asia";26;9;62;4;"Yes";"Excellent service";"Basic";10;"2023-05-31";188;1;2;1;5;1;11
"S0195";672;375;"Asia";30;16;32;4;"Yes";"Great customer support";"Basic";1;"2022-01-26";189;2;13;3;1;3;5
"S0196";981;704;"North America";14;19;32;1;"Yes";"Fast delivery";"Basic";1;"2022-06-12";190;1;4;3;4;3;4
"S0197";452;367;"North America";14;16;83;1;"No";"Responsive sales team";"Basic";8;"2024-03-01";191;1;3;5;2;3;1
"S0198";1056;942;"Asia";26;18;78;3;"No";"Product not available";"Basic";9;"2022-05-27";192;1;13;6;1;1;11
"S0199";1007;717;"South America";6;12;82;5;"Yes";"Fast delivery";"Basic";10;"2023-02-22";193;1;7;8;3;4;11
"S0200";1457;1264;"South America";12;14;81;1;"Yes";"Highly satisfied";"Basic";9;"2022-03-12";194;2;6;1;3;4;11
"S0201";883;589;"Europe";19;13;66;2;"Yes";"Fast delivery";"Basic";7;"2024-02-10";195;1;1;1;3;2;11
"S0202";365;123;"Europe";19;12;69;4;"Yes";"Excellent service";"Basic";8;"2023-01-19";196;1;3;5;2;1;9
"S0203";814;706;"Europe";6;18;42;4;"Yes";"Satisfied with product";"Basic";8;"2023-12-04";197;1;9;4;5;3;10
"S0204";408;292;"North America";9;14;27;1;"Yes";"Product not available";"Basic";1;"2024-05-17";198;1;10;6;4;2;3
"S0205";564;417;"North America";5;19;27;3;"Yes";"Highly satisfied";"Basic";2;"2022-10-05";37;1;6;2;3;1;10
"S0206";965;896;"Europe";13;12;54;3;"Yes";"Great customer support";"Basic";8;"2024-06-18";199;1;15;5;2;3;10
"S0207";1371;1120;"Asia";5;6;41;4;"Yes";"Satisfied with product";"Basic";3;"2024-04-17";200;1;1;4;4;3;4
"S0208";1466;1279;"Europe";22;16;24;2;"Yes";"Price too high";"Basic";1;"2023-02-28";189;2;11;3;1;5;9
"S0209";330;182;"Europe";6;15;24;5;"Yes";"Responsive sales team";"Basic";8;"2024-06-02";201;1;6;4;1;2;11
"S0210";1436;1146;"North America";5;8;31;4;"No";"Responsive sales team";"Basic";7;"2023-11-21";202;2;1;3;5;1;11
"S0211";437;175;"Europe";11;10;35;3;"Yes";"Fast delivery";"Basic";3;"2022-05-07";203;1;13;2;3;5;4
"S0212";1183;977;"Europe";26;19;82;2;"No";"Excellent service";"Basic";3;"2023-01-24";204;1;4;5;5;4;9
"S0213";1419;1297;"South America";17;6;49;3;"Yes";"Highly satisfied";"Basic";2;"2023-07-08";205;1;9;5;5;2;2
"S0214";1216;1132;"Europe";22;7;89;3;"Yes";"Fast delivery";"Basic";10;"2023-06-04";206;1;7;3;2;4;5
"S0215";1153;1034;"South America";12;8;69;3;"Yes";"Product not available";"Basic";8;"2024-08-28";207;1;10;5;2;2;9
